ID,Label,Text
2807,CRITICAL,Fallo en Matrix 08022022 Hoy el seor Joan Ramn Laporte Rosell  catedrtico experto en farmacovigilancia  ha comparecido en el Congreso de los Diputados  Fue invitado por el Gobierno de Espaa  PSOE y Podemos  a formar parte de la Comisin de Investigacin de las Vacunas  Pues bien  evidentemente no se esperaban lo que en seor catedrtico iba a decir    Ante el asombro y la estupefaccin de los all presentes  Joan Ramn Laporte ha advertido del peligro y de la ineficacia del experimento que se ha inoculado la mayora de la poblacin espaola  Y adems ha recalcado que  segn el diccionario de la Real Academia de la Lengua espaola  estamos ante un  experimento   no ante una vacuna  
3054,CRITICAL,Siento ya tdas las vacunas vienen contaminadas mi sobrina hace un mes le pusieron la vacuna de la hepatitis a El fin de semana apareci erupciones  A mi hermano le dijeron es varicela 
268,CONSPIRACY,Veo que curiosamente te autoproclamados interlocutor o interlocutora de todo el grupo  curioso cuando menos   Esta noticia pasa en Madrid  pasa en Murcia y toda Espaa     Que un inmigrante cobre ms de un MILLN DE EUROS en subvenciones    Te dir que form parte de ese grupo de padres que no slo ha salido a las calles  sino que colabor activamente en gran parte de las manifestaciones que se llevaron a cabo en Espaa para luchar contra las medidas impuestas en los colegios a travs de las mascarillas  vacunaciones  etc He luchado y participado de forma activa contra la conocida como Ley Auschwitz  he recibido varas sanciones por acudir a manifestaciones y otras tantas ancdotas que no viene al caso mencionar  EL PROBLEMA ES QUE CADA UNO VAMOS POR UN LADO  100 Compartimentos  transporte por un lado  hosteleros por otro  ganaderos por otro  policas por otro  padres por otro  Esto es lo que quiere ese 1  que domina el mundo  DIVISIN TENEMOS QUE IR EN BLOQUE CONTRA EL GOBIERNO  CONTRA INDRA  Y TODA ESTA DICTADURA  O NOS VAN A MACHACAR  NOS VAN A DESTRUIR A TODOS SIN EXCEPCIN  
2669,CRITICAL,[ Documental ] Vacunas  Una inyeccin en la oscuridad  Resumen de 2019 sobre los ingredientes de las vacunas  normales  y sus efectos  La mayora de vacunas contienen clulas de fetos abortados  Documental completo y enlaces  https  elinvestigador  org  documental  vacunas  injeccion  en  oscuridad  Vdeo doblado al espaol  https  odysee  com  elinvestigador  0  UN  DISPARO  EN  LA  OSCURIDAD  Documental  2020  en  Espa  C3  B1ol  a 
3205,CONSPIRACY,Una sugerencia para los que se han vacunado y no quieren hacerlo ms  Creo que es importante que saquen de su cuerpo la porquera que les han metido  El ayuno  bien hecho  tiene unas propiedades curativas asombrosas y me atrevera a decir que milagrosas  Yo lo practico  Os recomiendo que os informis al respecto  
2573,CONSPIRACY, porlajusticia Australia asesina a sus jvenes con la timo vacuna Pfizer https  ramblalibre  com  2022  06  10  australia  asesina  a  sus  jovenes  con  la  timo  vacuna  pfizer  Rhoda Wilson  The Expos Durante un perodo de 17 das en marzo de 2022  2 nios de 6 y 7 aos  y una nia de 9 aos muri despus de que le inyectaran la  vacuna  de Pfizer  y hay muchas ms vctimas  Hasta el 10 de abril  la Administracin Australiana de Productos Teraputicos  TGA  recibi alrededor de 1200 [  ] La entrada Australia asesina a sus jvenes con la timo vacuna Pfizer Siguenos  porlajusticia  porlajusticiachat 
3339,CRITICAL, porlajusticia Madre joven en Reino Unido muere de hemorragia cerebral https  ramblalibre  com  2022  03  29  madre  joven  en  reino  unido  muere  de  hemorragia  cerebral  Un mdico forense en el Reino Unido le dijo a la BBC que la muerte de una madre joven por una rara hemorragia cerebral fue causada por la recepcin de la vacuna COVID  19 de AstraZeneca  El 16 de marzo  el forense Nicola Mundy confirm a la BBC que la muerte de Kim Lockwood  de 34 aos  en [  ] La entrada Madre joven en Reino Unido muere de hemorragia cerebral  https  ramblalibre  com  2022  03  29  madre  joven  en  reino  unido  muere  de  hemorragia  cerebral   se public primero en Rambla Libre  https  ramblalibre  com    Siguenos  porlajusticia  porlajusticiachat 
635,CRITICAL,Buenas  he buscado en la lupa y no he encontrado nada relativo a espondilitis  Algn vacunado en el grupo o que conozca a alguien que la padezca  Estoy muy interesada en saber de efectos adversos o si los especialistas recomendaron su inoculacin  Sobre psoriasis s he vistazo varios brotes en el grupo  Gracias 
1072,CONSPIRACY,LEED ESTO Y COMPARTIDLO  ES URGENTE En noviembre del 2021 hubo un  simulacro  en Mnich sobre una pandemia provocada por una  variante letal  de la viruela del mono provocada por un supuesto ataque terrorista   os suena   Fue financiada y organizada por   lo imaginis  Fundacin Bill y Melinda Gates y la OMS  La conclusin de dicho ensayo fueron millones de muertes  caos social sin precedentes y la nica recomendacin de que todos los pases delegaran en la OMS todas las medidas ante nuevas pandemias implementando un certificado digital de vacunacin obligatorio para todo el mundo  Si an no te has enterado de qu va todo esto  espero que esto te abra los ojos de una vez  Os dejo el enlace con la informacin completa  https  es  news  front  info  2022  05  20  la  simulacion  de  pandemia  de  la  viruela  del  mono  de  la  conferencia  de  seguridad  de  munich  de  2021  resurge  a  medida  que  aumentan  los  casos  de  la  vida  real  
3778,CRITICAL,Que un hombre que insultaba a  aquellos que negaban la eficacia de las vacunas  ahora se muestre en contra de la vacunacin obligatoria y de la inoculacin de menores de 12 aos  quiere decir que estamos haciendo las cosas bien  Cuando la cpula de VOX sea como las bases de VOX  otro gallo nos cantar  https  twitter  com  jlsteeg  status  1442905545011183624 
3312,CRITICAL,No s si el doctor Alarcos ve y responde  Pero tenemos un problema con mi suegro sobre vacunas  Desde el verano pasado esta cansadsimo  Dos dosis de la vacuna  conseguimos que la tercera no se la pusiera  Est ingresado por arritmias en el IMED de Elche  Lleva casi dos semanas para que le pongan un marcapasos  Hoy nos dicen que tiene lquido en los pulmones  Tengo entendido que lo siguiente es intubar      No sabemos qu hacer segn nos diga el mdico 
1227,CRITICAL,  LA VOZ DE ISABEL  3 PARTE   ltima parte de la entrevista con Isabel  una sanitaria excelente y una persona dotada de una gran humanidad    ESTA ES SU VOZ  0332 Hace tiempo que dije  ya no tengo miedo  lo primero son las personas  1013 Hay varios casos  vacunados  que han entrado con dolores muy fuertes de los pies a la cabeza    no se les va ni con morfina 2433 Mensaje a otros sanitarios  trabajamos con seres humanos 2707 Mensaje a padres y madres sobre vacunas a los nios   es peor el remedio que la enfermedad  3501 Llamamiento a cientficos de  luz  para salvar vidas  Mantengamos la esperanza   Ver 1 parte   Ver 2 parte Gracias a Isabel que ya nos dej un audio aqu    Deja tu testimonio como SANITARIO aqu     DEJA tu TESTIMONIO   WEB   GRUPO   CANAL    AfectadosPorLasVacunas  LaVozDeLosInvisibles  Isabel  Parte3  Testimonios  Sanitarios  Entrevista 
3507,CONSPIRACY,LOS [ TRIUNFOS ] PATRIOTAS ESTN ANTE NUESTROS OJOS  SOLO MIRA  PARTE 02  Los PATRIOTAS estn causando que el Estado Profundo pierda BILLONES EN DINERO  Destruyen el antiguo sistema financiero corrupto  los bancos centrales y la FED e instalan gradualmente el nuevo sistema financiero cuntico  QFS   Los BRICS representan una poblacin de 3 mil millones de habitantes  o el 42  de la poblacin mundial  en comparacin con la poblacin de los pases miembros de la OTAN  992 millones de habitantes  o el 14  de la poblacin mundial  Estas operaciones parten de los BRICS pero es el nuevo sistema QFS el que ser efectivo  DESTRUIR PARA RECONSTRUIR  CRISIS FINANCIERA  ENERGTICA  Cuando la crisis financiera est en su apogeo y todas las personas de todos estos pases que han perforado sus billeteras para apoyar a Ucrania ya no sabrn cmo alimentarse a s mismos y a sus hijos  calentar sus hogares en invierno  moverse    Cmo crees que resultar  dolor  levantamiento de ira  revueltas  motines   Los PATRIOTAS estn causando que el Estado Profundo pierda BILLONES EN ARMAS  LA MILITARIZACIN de Ucrania en una guerra de poder  ltima barrera en Europa a la exposicin del plan global [ DS ]  ES UN SEGUNDO TIRO EN EL PIE  APOYAN UN RGIMEN NAZI Y CRIMINAL  APOYAN LABORATORIOS DE ARMAS BIOLGICAS DE DESTRUCCIN MASIVA CUANDO ACABAMOS DE EXPERIMENTAR UN ATAQUE CON ARMAS BIOLGICAS  C19 y VX   Y ni siquiera voy a entrar en la parte de  apelacin al esfuerzo de guerra  a travs de Mercenarios y Voluntarios de Guerra y la solicitud de donaciones  Sabemos a nivel de [ DS ] quin est a cargo y no es el estado mayor ucraniano sino el Pentgono del Estado Profundo y se han desplegado desde la salida de las fuerzas especiales en el rea  Desde la salida del ruso operacin militar especial e incluso antes  para preparar a los ucranianos para lo que vendra porque el objetivo de la DS era un Casus Belli para provocar y matar a Putin e invadir Rusia  y la destruccin de Europa   Puedes imaginar que tomar tiempo  pero la verdad ser expuesta  Al menos  el que la gente puede aceptar al principio sin saltar desde lo alto de un edificio  Todo esto es parte de un proceso que estara completamente fuera de nuestro alcance si los SOLDADOS DIGITALES no estuvieran ocupados destilando la verdad en todas partes del mundo  en todos los asuntos que nos impactan a las personas  Y LA GENTE DESPIERTA EN MASA  USA  UE  OTAN IMPONEN SANCIONES A RUSIA CON EFECTO BOOMERANG Y UCRANIA ARMA CON TODO LO QUE PUEDE  NO TENDRN NADA PARA CALENTARSE Y LUCHAR UNA GUERRA Y DEFENDERSE CUANDO SE HAGA EFECTO EL TOMA MILITAR GLOBAL  CONFA EN EL PLAN   Sgueme   https  t  me  victoriaenlaluz 
4603,CONSPIRACY,  Dra Alexandra Henrion Caude   No es una vacuna ni una terapia gnica  Es una inyeccin de cdigo gentico en personas sanas que quieren reprogramar  Moderna lo llama el  software de la vida   [ Director Mdico de Moderna en 2017   Estoy aqu hoy para decirles que estamos hackeando el software de la vida  ]  Se puede entender por qu hablan del  Gran Reinicio    Utilizar el ARN en personas sanas es una pura locura   Llevo 12 aos trabajando sobre el ARN  Soy una enamorada del ARN  una adepta de sus capacidades inmensas  Estoy muy descontenta con lo que est pasando  Administrar ARN a individuos sanos me parece una locura    El ensayo de Pfizer terminar en 2022  Para entonces  cualquiera que se vacune ser un sujeto de protocolo biomdico  Una cobaya     La Dra Alexandra es genetista  ex Directora de Investigacin en el Instituto Internacional de Investigacin SimplissimA y ex Directora de Investigacin en el Inserm  Fuente 
3356,CRITICAL, porlajusticia Estudio revela que la Pfizer puede alterar el ADN en las clulas hepticas humanas https  ramblalibre  com  2022  04  06  estudio  revela  que  la  pfizer  puede  alterar  el  adn  en  las  celulas  hepaticas  humanas  Un estudio publicado en la revista MDPI encontr que la vacuna contra el coronavirus de Wuhan  COVID  19  supuestamente segura de Pfizer puede potencialmente alterar el ADN en los hgados humanos  Para el estudio  los cientficos de la Universidad de Lund  LU  en Suecia descubrieron que el ARNm de la vacuna COVID  19 de Pfizer  BNT162b2  se puede transcribir de forma inversa [  ] La entrada Estudio revela que la Pfizer puede alterar el ADN en las clulas hepticas humanas Siguenos  porlajusticia  porlajusticiachat 
